Hindi,English
गिर,fall
हमारा,Our
जारी,Ongoing
लड़ाई,battle
मुश्किल,difficult
चुका,paid off
प्रिय,Dear
खुशी,Happiness
चुप,Silent
उपयोग,Use
सवाल,Question
रखो,Please Keep
बड़ी,Big
जैसा,As
सुन,Listen
चोट,Injury
मौत,Death
पर्याप्त,Sufficient
पुरुषों,men
हंसते,laughing
सा,Like
पकड़,grasp
सुरक्षा,Security
खाना,Eat
चाचा,Uncle
बन,become
अमेरिका,America
परेशान,Worried
बच्चा,Child
सेना,Army
ऐसे,This way
महीने,month
छोटी,Small
अलविदा,goodbye
कदम,step
अगले,next
भाग,Part
नमस्ते,hello
देते,give
कॉल,Call
छोटा,Small
भाड़,Screw
बनाया,Make
परवाह,care
नष्ट,destroyed
स्वागत,Welcome
अजीब,Strange
रह,stay
व्यक्ति,Person
सिकंदर,Alexander
मै,i
मालिक,Owner
गंदगी,dirt
रखें,keep
नौकरी,Job
हांक,hank
कंपनी,company
लेंगे,will take
चारों,all four
कहानी,Story
किस,What
िलए,for
भरोसा,Reliance
जहाँ,Where
करीब,near
इतने,So much
यात्रा,Travel
रक्षा,protect
पाया,Found
पति,Husband
दरवाजा,Door
कहता,says
वाली,the one
जय,Victory
अकेला,alone
नया,New
करनी,to do
जेल,Jail
ब्रायन,brian
पैदा,born
चार,Four
कितने,How many?
कहने,to say
अस्पताल,hospital
जाँच,Check
पृथ्वी,Earth
पूछ,ask
लगभग,About
देखें,see
सप्ताह,Week
डॉक्टर,Doctor
पांच,Five
इसकी,his
तोड़,the break
यहीं,right here
खाता,Account
भर,Filled
खबर,News
